Designator,Footprint,Quantity,Value,LCSC Part #
Audio1,AUDIO-SMD_PJ-320B,1,TX Jack,C18594
Audio2,AUDIO-SMD_PJ-320B,1,RX Jack,C18594
B+/-1,CONN-TH_2P-P2.00_PH-2AW,1,PH-2AW RHOS,C16965
"C1, C3, CL1, CL10, CL11, CL12, CL13, CL14, CL15, CL16, CL17, CL18, CL19, CL2, CL3, CL4, CL5, CL6, CL7, CL8, CL9, C_Motor1, C_VCC1, C_VDD1",C0402,24,100nF,C387958
"C1P1, C2P1, C8, C9",C0805,4,1uF,C2932475
"C2, C4",1206,2,22uF,C12891
C5,C0805,1,10uF,C1222438
"C6, C_VCC2, C_VDD2",C0805,3,4.7uF,C274245
"CN1, CN2, CN5, CN9",CONN-TH_PH-3AW,4,PH-3AW_C722773,C722773
"CN10, CN8",CONN-TH_PH-6AW,2,PH-6AW_C722785,C722785
"CN3, CN4, CN6, CN7",CONN-TH_PH-4AW_C722777,4,PH-4AW_C722777,C722777
C_VCOMH1,C0402,1,2.2uF,C92805
"D1, D2",LED0603-RD_RED,2,RED,C965799
D10,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6_C2827654,C2827654
"D3, D4",SMA_L4.3-W2.6-LS5.2-RD,2,Schottkey Diode,C8678
D5,SMA_L4.2-W2.6-LS5.0-RD,1,1N4001 Diode,C2909965
"D6, D7, D8, D9",SOD-323_L1.8-W1.3-LS2.5-RD,4,TVS Diode,C502526
"H1, H10, H11, H12, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2_Pad_TopBottom,12,MountingHole,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,IND-SMD_L7.0-W6.8,1,22uH Inductor,C27442
"LED1, LED10, LED11, LED12, LED13, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,13,WS2812B,C5349954
"LED14, LED15, LED16, LED17, LED18, LED19",LED-SMD_4P-L4.0-W1.7_XL-4020RGBC-WS2812B,6,XL-4020RGBC-WS2812B,C3647024
MOT1,VIBRATING-MOTOR-SMD_WELDING,1,Vibration Motor,C2759984
Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A,C908265
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,BJT 2222A,C916372
"R1, R14, R2, R5",0402,4,1.2k,C3017481
"R10, R13",0603,2,330 Ohm,C23138
R11,R0201,1,1.8M,C784131
"R12, R16, R17",0603,3,10k,C103199
"R15, R6",0603,2,1k,C2759381
"R3, R4",0402,2,5.1k,C25905
R7,0805,1,110k,CR0805J80114G
R8,0402,1,15k,C474072
R9,0402,1,100,C327795
SW1,SW-SMD_SS-1290,1,On/Off Switch,C589295
SW2,KEY-SMD_L6.0-W3.5-LS8.0,1,Primary Button,C2888463
SW3,KEY-SMD_L6.0-W3.5-LS8.0,1,Secondary Button,C2888463
SW4,KEY-SMD_L6.0-W3.5-LS8.0,1,BOOT,C2888463
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C382139
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,DW01A,C351410
U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MT3608,C84817
U4,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,LDL1117S33R,C435835
U5,SSD1315 FLAT,1,Display,
U6,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N8R8),C2913201
USB1,USB-C-SMD_TYPE-C-16P-1,1,USB-C Connector,C2982555
